timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2
1.000000e-01	1	2780	1.394400e+03	3.340360e-01	3.340360e-01
2.000000e-01	2	1189	5.637770e+03	8.258327e-01	8.258327e-01
3.000000e-01	3	2777	1.321610e+03	3.224532e-01	3.224532e-01
4.000000e-01	4	1186	6.714980e+03	8.498920e-01	8.498920e-01
5.000000e-01	5	3193	1.200490e+03	2.732429e-01	2.732429e-01
6.000000e-01	6	1144	5.376920e+03	8.245646e-01	8.245646e-01
7.000000e-01	7	2348	1.163640e+03	3.313665e-01	3.313665e-01
8.000000e-01	8	1226	4.995180e+03	8.029313e-01	8.029313e-01
9.000000e-01	9	2596	1.239280e+03	3.231263e-01	3.231263e-01
1	10	1212	6.261160e+03	8.378196e-01	8.378196e-01
1.100000e+00	11	2539	1.275270e+03	3.343418e-01	3.343418e-01
1.200000e+00	12	1068	5.614240e+03	8.401734e-01	8.401734e-01
1.300000e+00	13	2793	1.257490e+03	3.104538e-01	3.104538e-01
1.400000e+00	14	1141	5.592130e+03	8.305394e-01	8.305394e-01
1.500000e+00	15	2738	1.243340e+03	3.122918e-01	3.122918e-01
1.600000e+00	16	1139	5.820270e+03	8.363334e-01	8.363334e-01
1.700000e+00	17	2708	1.641440e+03	3.773911e-01	3.773911e-01
1.800000e+00	18	1228	5.970040e+03	8.293980e-01	8.293980e-01
1.900000e+00	19	2943	1.392990e+03	3.212623e-01	3.212623e-01
2	20	1201	5.490930e+03	8.205301e-01	8.205301e-01
