timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2
1.000000e-01	1	12398	3.341400e+02	2.624382e-02	2.624382e-02
2.000000e-01	2	1230	9.759000e+02	4.424045e-01	4.424045e-01
3.000000e-01	3	10708	2.744400e+02	2.498898e-02	2.498898e-02
4.000000e-01	4	1254	1.042220e+03	4.538851e-01	4.538851e-01
5.000000e-01	5	11226	3.471800e+02	2.999867e-02	2.999867e-02
6.000000e-01	6	1275	1.020750e+03	4.446259e-01	4.446259e-01
7.000000e-01	7	13282	2.052600e+02	1.521881e-02	1.521881e-02
8.000000e-01	8	1176	9.906800e+02	4.572341e-01	4.572341e-01
9.000000e-01	9	12427	2.541100e+02	2.003847e-02	2.003847e-02
1	10	1146	9.767800e+02	4.601419e-01	4.601419e-01
1.100000e+00	11	11261	4.237300e+02	3.626357e-02	3.626357e-02
1.200000e+00	12	1238	9.923400e+02	4.449277e-01	4.449277e-01
1.300000e+00	13	13427	1.321100e+02	9.743265e-03	9.743265e-03
1.400000e+00	14	1295	9.513500e+02	4.235092e-01	4.235092e-01
1.500000e+00	15	12492	1.955600e+02	1.541352e-02	1.541352e-02
1.600000e+00	16	1010	1.036300e+03	5.064262e-01	5.064262e-01
1.700000e+00	17	11784	2.241200e+02	1.866404e-02	1.866404e-02
1.800000e+00	18	1409	1.002370e+03	4.156849e-01	4.156849e-01
1.900000e+00	19	12799	2.280700e+02	1.750739e-02	1.750739e-02
2	20	1045	1.021850e+03	4.943997e-01	4.943997e-01
