timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2
1.000000e-01	1	7691	1.053630e+03	1.204888e-01	1.204888e-01
2.000000e-01	2	1022	4.597460e+03	8.181320e-01	8.181320e-01
3.000000e-01	3	6776	9.406800e+02	1.219022e-01	1.219022e-01
4.000000e-01	4	1325	4.156250e+03	7.582668e-01	7.582668e-01
5.000000e-01	5	6376	1.023680e+03	1.383411e-01	1.383411e-01
6.000000e-01	6	1352	4.674360e+03	7.756523e-01	7.756523e-01
7.000000e-01	7	7682	9.172600e+02	1.066673e-01	1.066673e-01
8.000000e-01	8	1234	4.441620e+03	7.825788e-01	7.825788e-01
9.000000e-01	9	6218	1.029740e+03	1.420774e-01	1.420774e-01
1	10	1224	4.390320e+03	7.819861e-01	7.819861e-01
1.100000e+00	11	6226	1.150180e+03	1.559317e-01	1.559317e-01
1.200000e+00	12	1345	4.022850e+03	7.494341e-01	7.494341e-01
1.300000e+00	13	6214	1.083020e+03	1.484195e-01	1.484195e-01
1.400000e+00	14	1284	4.174120e+03	7.647542e-01	7.647542e-01
1.500000e+00	15	5216	9.628800e+02	1.558341e-01	1.558341e-01
1.600000e+00	16	1260	4.159800e+03	7.675191e-01	7.675191e-01
1.700000e+00	17	7523	8.663900e+02	1.032721e-01	1.032721e-01
1.800000e+00	18	1229	4.086970e+03	7.688098e-01	7.688098e-01
1.900000e+00	19	6116	1.108880e+03	1.534807e-01	1.534807e-01
2	20	1149	3.932570e+03	7.738888e-01	7.738888e-01
