timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2	S_1>2	discr.S_1>2
1.000000e-01	1	6071	5.880300e+02	8.830565e-02	8.830565e-02	8.801674e-01	8.473697e-01
2.000000e-01	2	1177	9.066100e+02	NaN	NaN	NaN	NaN
3.000000e-01	3	8934	5.536200e+02	NaN	NaN	NaN	NaN
4.000000e-01	4	1206	1.021580e+03	4.586053e-01	4.586053e-01	7.832312e-01	8.473697e-01
5.000000e-01	5	7007	6.165100e+02	NaN	NaN	NaN	NaN
6.000000e-01	6	1410	1.017300e+03	NaN	NaN	NaN	NaN
7.000000e-01	7	8332	4.757600e+02	5.401600e-02	5.401600e-02	9.066752e-01	8.473697e-01
8.000000e-01	8	1363	9.065900e+02	NaN	NaN	NaN	NaN
9.000000e-01	9	8964	4.165200e+02	NaN	NaN	NaN	NaN
1	10	1064	8.885200e+02	4.550632e-01	4.550632e-01	7.866625e-01	8.473697e-01
1.100000e+00	11	7407	5.295100e+02	NaN	NaN	NaN	NaN
1.200000e+00	12	1128	9.890400e+02	NaN	NaN	NaN	NaN
1.300000e+00	13	7024	5.583200e+02	7.363445e-02	7.363445e-02	8.837234e-01	8.473697e-01
1.400000e+00	14	1205	9.976500e+02	NaN	NaN	NaN	NaN
1.500000e+00	15	7515	4.909500e+02	NaN	NaN	NaN	NaN
1.600000e+00	16	1093	1.101490e+03	5.019344e-01	5.019344e-01	8.437588e-01	8.473697e-01
1.700000e+00	17	8152	4.063600e+02	NaN	NaN	NaN	NaN
1.800000e+00	18	1213	9.880900e+02	NaN	NaN	NaN	NaN
