timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2	S_1>2	discr.S_1>2
1.000000e-01	1	3039	2.517270e+03	4.530503e-01	4.530503e-01	5.864236e-01	6.239637e-01
2.000000e-01	2	1149	3.918570e+03	NaN	NaN	NaN	NaN
3.000000e-01	3	2265	2.645450e+03	NaN	NaN	NaN	NaN
4.000000e-01	4	1124	4.317320e+03	7.934325e-01	7.934325e-01	6.952813e-01	6.239637e-01
5.000000e-01	5	2675	2.384750e+03	NaN	NaN	NaN	NaN
6.000000e-01	6	1117	5.117810e+03	NaN	NaN	NaN	NaN
7.000000e-01	7	2753	2.601290e+03	4.858329e-01	4.858329e-01	5.316442e-01	6.239637e-01
8.000000e-01	8	1230	4.716900e+03	NaN	NaN	NaN	NaN
9.000000e-01	9	2805	2.723650e+03	NaN	NaN	NaN	NaN
1	10	1074	4.209820e+03	7.967380e-01	7.967380e-01	7.184306e-01	6.239637e-01
1.100000e+00	11	2445	2.070850e+03	NaN	NaN	NaN	NaN
1.200000e+00	12	1174	4.085820e+03	NaN	NaN	NaN	NaN
1.300000e+00	13	2378	2.479540e+03	5.104518e-01	5.104518e-01	5.099555e-01	6.239637e-01
1.400000e+00	14	1116	4.667880e+03	NaN	NaN	NaN	NaN
1.500000e+00	15	2897	2.662210e+03	NaN	NaN	NaN	NaN
1.600000e+00	16	1353	4.663290e+03	7.751106e-01	7.751106e-01	7.020470e-01	6.239637e-01
1.700000e+00	17	3095	2.553350e+03	NaN	NaN	NaN	NaN
1.800000e+00	18	1082	4.866260e+03	NaN	NaN	NaN	NaN
