timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2	S_1>2	discr.S_1>2
1.000000e-01	1	5873	1.193890e+03	1.689414e-01	1.689414e-01	5.765877e-01	7.064344e-01
2.000000e-01	2	1207	5.189510e+03	NaN	NaN	NaN	NaN
3.000000e-01	3	6626	9.731800e+02	NaN	NaN	NaN	NaN
4.000000e-01	4	1104	4.817720e+03	8.135677e-01	8.135677e-01	8.753738e-01	7.064344e-01
5.000000e-01	5	5399	8.430700e+02	NaN	NaN	NaN	NaN
6.000000e-01	6	1103	5.104790e+03	NaN	NaN	NaN	NaN
7.000000e-01	7	5963	9.595900e+02	1.386172e-01	1.386172e-01	5.369058e-01	7.064344e-01
8.000000e-01	8	1130	5.970900e+03	NaN	NaN	NaN	NaN
9.000000e-01	9	6571	9.130300e+02	NaN	NaN	NaN	NaN
1	10	1194	6.924420e+03	8.529270e-01	8.529270e-01	9.016690e-01	7.064344e-01
1.100000e+00	11	5995	8.853500e+02	NaN	NaN	NaN	NaN
1.200000e+00	12	1118	5.987740e+03	NaN	NaN	NaN	NaN
1.300000e+00	13	5056	1.095080e+03	1.780305e-01	1.780305e-01	5.240519e-01	7.064344e-01
1.400000e+00	14	1022	5.586460e+03	NaN	NaN	NaN	NaN
1.500000e+00	15	6199	9.940700e+02	NaN	NaN	NaN	NaN
1.600000e+00	16	1146	5.033780e+03	8.145565e-01	8.145565e-01	8.240179e-01	7.064344e-01
1.700000e+00	17	5403	1.319790e+03	NaN	NaN	NaN	NaN
1.800000e+00	18	1238	6.582340e+03	NaN	NaN	NaN	NaN
